source;target;weight
Argentina;Brazil;24730.96
Argentina;Uruguay;129
Australia;Brazil;57049618.74
Australia;Chile;7966337.259
Australia;China;494151406.8
Australia;Cyprus;11118.537
Australia;France;14431322.94
Australia;Germany;15144438.5
Australia;Indonesia;26534518.65
Australia;Italy;19256062.79
Australia;Japan;853175485.5
Australia;South Korea;365944540.7
Australia;Malaysia;30123622.47
Australia;Mexico;11073768.12
Australia;Netherlands;4360024.813
Australia;New Caledonia;5138670.659
Australia;New Zealand;20176.683
Australia;Pakistan;5283976.633
Australia;Philippines;7928967.269
Australia;Poland;8731011.78
Australia;India;430166454.3
Australia;Viet Nam;6473910.821
Australia;South Africa;16219532.46
Australia;Sweden;9323866.086
Australia;Thailand;17493760.52
Australia;Turkey;9420228.086
Australia;Ukraine;19100556.43
Australia;United Kingdom;44061692.01
Austria;USA;46.484
Belgium;Austria;13157.261
Belgium;Finland;601706.56
Belgium;France;4399197.986
Belgium;Germany;6335240.317
Belgium;Indonesia;5672.036
Belgium;Luxembourg;924931.183
Belgium;Netherlands;315834.608
Belgium;Slovakia;3032.79
Belgium;Spain;371301.653
Belgium;Switzerland;19547.173
Belgium;United Kingdom;92895.81
Botswana;South Africa;720422.104
Botswana;Zimbabwe;3515.885
Bulgaria;Albania;14898.122
Bulgaria;Greece;894.817
Bulgaria;Romania;25391.885
Bulgaria;North Macedonia;333824.846
Belarus;Poland;95800
Argentina;Uruguay;129
Belgium;Austria;13157.261
Belgium;Finland;601706.56
Belgium;France;4197492.103
Belgium;Germany;4684912.659
Belgium;Indonesia;5672.036
Belgium;Luxembourg;634983.003
Belgium;Netherlands;218767.359
Belgium;Slovakia;3032.79
Belgium;Spain;371301.653
Belgium;United Kingdom;92895.81
Bulgaria;Albania;14898.122
Bulgaria;Romania;25391.885
Argentina;Brazil;18565.36
Australia;Brazil;57049618.74
Australia;Chile;7966337.259
Australia;China;494151406.8
Australia;France;14431322.94
Australia;Germany;15144438.5
Australia;Indonesia;26534518.65
Australia;Italy;19256062.79
Australia;Japan;853175485.5
Australia;South Korea;365944540.7
Australia;Malaysia;30123622.47
Australia;Mexico;11073768.12
Australia;Netherlands;4360024.813
Australia;New Caledonia;5138670.659
Australia;New Zealand;20176.683
Australia;Pakistan;5283976.633
Australia;Philippines;7928967.269
Australia;Poland;8731011.78
Australia;India;430166454.3
Australia;Viet Nam;6473910.821
Australia;South Africa;16219532.46
Australia;Sweden;9323866.086
Australia;Thailand;17493760.52
Australia;Turkey;9420228.086
Australia;Ukraine;19100556.43
Australia;United Kingdom;44061692.01
Belgium;France;112719.702
Belgium;Germany;1596698.869
Belgium;Luxembourg;1376.914
Belgium;Netherlands;96754.749
Botswana;South Africa;683383.347
Botswana;Zimbabwe;3515.885
Bulgaria;North Macedonia;329362.382
Belarus;Poland;95800
Argentina;Brazil;6165.6
Austria;USA;46.484
Belgium;France;38960.518
Belgium;Germany;53628.788
Belgium;Luxembourg;288532.951
Belgium;Netherlands;312.5
Belgium;Switzerland;19547.173
Botswana;South Africa;37038.757
Australia;Cyprus;11118.537
Belgium;France;50025.662
Belgium;Luxembourg;38.314
Bulgaria;Greece;894.817
Bulgaria;North Macedonia;4462.464
Canada;Brazil;9746599.017
Canada;China;35207529.27
Canada;Finland;6473508.043
Canada;Germany;12590800.23
Canada;Italy;3051.858
Canada;Japan;96764975.34
Canada;South Korea;53981042.29
Canada;Netherlands;17521175.08
Canada;Poland;6403746.826
Canada;India;22858874.92
Canada;Viet Nam;4381.796
Canada;Spain;31808.987
Canada;United Arab Emirates;807.845
Canada;USA;4779816.81
Chile;Netherlands;2553533.42
Chile;India;11063104.94
Colombia;Belgium;20400
Colombia;Brazil;40388323.81
Colombia;Canada;7265454.12
Colombia;Chile;18403022.96
Colombia;China;1237554.5
Colombia;Croatia;4377746.43
Colombia;Cuba;32700
Colombia;Denmark;10120085.34
Colombia;Ecuador;500
Colombia;Germany;2035279.26
Colombia;Israel;20460544.97
Colombia;Italy;8702462.45
Colombia;Lithuania;5558
Colombia;Mexico;3596719.22
Colombia;Netherlands;61565093.54
Colombia;Portugal;20735767.76
Colombia;Russian Federation;9680
Colombia;Spain;29586499.72
Colombia;Trinidad and Tobago;103241.17
Colombia;Turkey;73398822.75
Colombia;United Kingdom;37969312.71
Colombia;USA;33214488.47
Colombia;Venezuela;152903.8
Croatia;Bosnia Herzegovina;562372
Croatia;Slovenia;9
Czechia;Austria;9894659
Czechia;Bulgaria;986
Czechia;Germany;4394582
Czechia;Hungary;1803760
Czechia;Italy;7186
Czechia;Poland;2683765
Czechia;Slovakia;4588264
Czechia;Slovenia;25432
Denmark;Germany;827618.511
Denmark;Norway;3447.108
Dominican Republic;USA;75
Colombia;Ecuador;500
Colombia;Lithuania;5558
Czechia;Bulgaria;986
Czechia;Slovenia;25210
Canada;Brazil;9746599.017
Canada;China;35207529.27
Canada;Finland;6473508.043
Canada;Germany;12590800.23
Canada;Japan;96757436.28
Canada;South Korea;53981042.29
Canada;Netherlands;17521175.08
Canada;Poland;6403746.826
Canada;India;22858874.92
Canada;USA;4649582.532
Colombia;Belgium;20400
Colombia;Brazil;40388323.81
Colombia;Canada;7265454.12
Colombia;Chile;18403022.96
Colombia;China;1237554.5
Colombia;Croatia;4377746.43
Colombia;Cuba;32700
Colombia;Denmark;10120085.34
Colombia;Germany;2035279.26
Colombia;Israel;20460544.97
Colombia;Italy;8702462.45
Colombia;Mexico;3596719.22
Colombia;Netherlands;61565093.54
Colombia;Portugal;20735767.76
Colombia;Russian Federation;9680
Colombia;Spain;29586499.72
Colombia;Turkey;73398822.75
Colombia;United Kingdom;37969312.71
Colombia;USA;33214488.47
Colombia;Venezuela;152903.8
Croatia;Bosnia Herzegovina;22290
Czechia;Austria;7395410
Czechia;Hungary;1714590
Czechia;Poland;924474
Czechia;Slovakia;2154733
Dominican Republic;USA;75
Canada;Italy;3051.858
Canada;Japan;7539.06
Canada;Viet Nam;4381.796
Canada;Spain;31808.987
Canada;United Arab Emirates;807.845
Canada;USA;130234.278
Chile;Netherlands;2553533.42
Chile;India;11063104.94
Colombia;Trinidad and Tobago;103241.17
Croatia;Bosnia Herzegovina;540082
Czechia;Austria;2499003
Czechia;Germany;4394582
Czechia;Hungary;89170
Czechia;Poland;1759291
Czechia;Slovakia;2433426
Czechia;Slovenia;222
Denmark;Germany;827618.511
Croatia;Slovenia;9
Czechia;Austria;246
Czechia;Italy;7186
Czechia;Slovakia;105
Denmark;Norway;3447.108
France;Belgium;1018
France;Cameroon;13318.828
France;Germany;11332.799
France;Kuwait;9356.067
France;Luxembourg;13.945
France;Morocco;668.207
France;Netherlands;9286.341
France;Portugal;50672.208
France;Spain;271.931
France;United Kingdom;173.153
France;Cameroon;13318.828
France;Morocco;668.207
France;Belgium;1018
France;Kuwait;9356.067
France;Portugal;50672.208
France;Germany;11332.799
France;Luxembourg;13.945
France;Netherlands;9286.341
France;Spain;271.931
France;United Kingdom;173.153
Germany;Austria;185960.404
Germany;Belgium;7956.899
Germany;Croatia;25302.403
Germany;Czechia;43896.003
Germany;Denmark;142327.035
Germany;Greece;2608.914
Germany;Luxembourg;1528.161
Germany;Netherlands;396295.856
Germany;Norway;400.924
Germany;Poland;350616.029
Germany;Russian Federation;3067.944
Germany;Slovenia;9135.268
Germany;Sweden;4123.131
Germany;Switzerland;51809.904
Ghana;Burkina Faso;895.033
Greece;Cyprus;29.052
Greece;North Macedonia;14322.882
Germany;Austria;170306.917
Germany;Croatia;25302.403
Germany;Czechia;25644.061
Germany;Greece;2608.914
Germany;Luxembourg;1528.161
Germany;Norway;400.924
Germany;Poland;344614.944
Germany;Russian Federation;3067.944
Germany;Slovenia;9135.268
Germany;Sweden;4123.131
Germany;Switzerland;51809.904
Greece;North Macedonia;14322.882
Germany;Denmark;142327.035
Germany;Poland;3621.104
Germany;Austria;95.292
Germany;Belgium;7956.899
Germany;Czechia;18251.943
Germany;Netherlands;395604.406
Germany;Poland;2379.981
Ghana;Burkina Faso;895.033
Germany;Austria;15558.195
Germany;Netherlands;691.449
Greece;Cyprus;29.052
Hungary;Germany;203
Hungary;Romania;187
Hungary;Slovakia;5251
Indonesia;Bangladesh;13072504
Indonesia;Cambodia;7606196
Indonesia;Sri Lanka;1514396
Indonesia;China;166835109
Indonesia;Hong Kong;41269150
Indonesia;Italy;18837191
Indonesia;Japan;215343388
Indonesia;South Korea;150342248
Indonesia;Malaysia;71785462
Indonesia;New Zealand;1982910
Indonesia;Marshall Islands;2970000
Indonesia;Pakistan;3507110
Indonesia;Philippines;54780396
Indonesia;India;443524459
Indonesia;Singapore;2106045
Indonesia;Viet Nam;4556982
Indonesia;Spain;13277286
Indonesia;Thailand;50780299
Indonesia;United Arab Emirates;1357896
Indonesia;USA;10583373
Ireland;United Kingdom;1873872.305
Italy;Austria;30716.627
Italy;Croatia;50909.277
Italy;Czechia;12559.977
Italy;Finland;118.534
Italy;France;83240.061
Italy;Germany;27482.503
Italy;Romania;3576.944
Italy;Serbia;13451.307
Italy;Slovenia;138991.808
Italy;Spain;917832.39
Italy;Switzerland;96727.393
Italy;United Arab Emirates;2194.045
Italy;Turkey;10872.608
Italy;United Kingdom;378.845
Japan;Indonesia;32222.836
Kazakhstan;Finland;7109234.28
Kazakhstan;Kyrgyzstan;5350999.98
Kazakhstan;Moldova;16131.5
Kazakhstan;Romania;30253.74
Kazakhstan;Russian Federation;25722747.4
Kazakhstan;Ukraine;6431161.07
Kazakhstan;Uzbekistan;70917.5
South Korea;China;9100
South Korea;Japan;358785
South Korea;Malaysia;20854
South Korea;Viet Nam;2542
Kyrgyzstan;Kazakhstan;11460
Kyrgyzstan;Tajikistan;22538
Kyrgyzstan;Uzbekistan;111368
Latvia;Belarus;1659.479
Latvia;Estonia;28863.078
Latvia;Lithuania;1094.698
Latvia;Russian Federation;1076550.846
Lithuania;Latvia;8174
Lithuania;Poland;234484
Lithuania;Slovakia;3301
Lithuania;Slovenia;12363
Luxembourg;Belgium;31.377
Luxembourg;France;4.648
Luxembourg;Germany;16.269
Malaysia;Bangladesh;180958.886
Malaysia;Viet Nam;1078315.08
Ireland;United Kingdom;1353.846
Italy;Austria;30716.627
Italy;Croatia;50909.277
Italy;Czechia;12559.977
Italy;Finland;118.534
Italy;France;83240.061
Italy;Germany;27481.341
Italy;Serbia;13451.307
Italy;Slovenia;138974.377
