source;target;weight
Turkey;Iraq;13500
Turkey;Iraq;13500
Lithuania;Russian Federation;227
Lithuania;Russian Federation;227
Italy;India;22998.311
Italy;India;22998.311
Norway;Denmark;559.035
Poland;Denmark;4394686
Poland;Denmark;4394686
Norway;Denmark;559.035
Poland;Lithuania;1503
Poland;Lithuania;1503
Italy;Switzerland;1210.31
Italy;Switzerland;1210.31
Spain;Morocco;324017.609
Spain;Morocco;324017.609
Italy;Spain;18620.619
Italy;Spain;18620.619
Poland;Spain;336739
Poland;Spain;336739
Italy;Hungary;61.726
Italy;Hungary;61.726
Poland;Hungary;807477
Poland;Hungary;807477
Italy;Slovakia;22.996
Italy;Slovakia;22.996
Poland;Slovakia;7440109
Poland;Slovakia;3059
Poland;Slovakia;7053459
Poland;Slovakia;383591
Italy;Singapore;1556.459
Italy;Singapore;1556.459
Poland;Egypt;7392440
Poland;Egypt;7392440
Italy;Lebanon;16284.721
Italy;Lebanon;16284.721
Poland;Serbia;3162
Poland;Serbia;3162
Italy;Greece;106.507
Italy;Greece;106.507
Turkey;Bulgaria;4376
Turkey;Bulgaria;4376
Zimbabwe;Malawi;3021.36
Zimbabwe;Malawi;3021.36
Italy;Poland;375.196
Lithuania;Poland;12094
Italy;Poland;347.359
Lithuania;Poland;12094
Italy;Poland;27.837
France;Belgium;110253.189
France;Belgium;104999.234
France;Belgium;594.262
France;Belgium;4659.694
Poland;Belgium;3674688
Poland;Belgium;3674688
Italy;Ghana;8387.448
Italy;Ghana;8387.448
Poland;Finland;6639452
Poland;Finland;6639452
Italy;Ireland;1721.061
Italy;Ireland;1721.061
Poland;Ireland;1496129
Poland;Ireland;1496129
Estonia;Norway;25917.46
Estonia;Norway;25917.46
Poland;Norway;1232614
Poland;Norway;1232614
Italy;Slovenia;20149.241
Italy;Slovenia;20149.241
Poland;Slovenia;41816
Poland;Slovenia;41816
Poland;Sweden;231676
Poland;Sweden;189235
Poland;Sweden;42441
France;United Kingdom;189915.794
France;United Kingdom;189915.794
Ireland;United Kingdom;6719.641
Italy;United Kingdom;36.309
Italy;United Kingdom;36.309
Ireland;United Kingdom;6719.641
Poland;United Kingdom;4245112
Poland;United Kingdom;4245112
Italy;Portugal;121.031
Italy;Portugal;121.031
Spain;Portugal;299738.137
Spain;Portugal;220357.051
Spain;Portugal;79381.086
Zimbabwe;Zambia;88767.02
Zimbabwe;Zambia;88767.02
Italy;Cyprus;157.34
Italy;Cyprus;157.34
France;Austria;8423.758
France;Austria;8423.758
Poland;Austria;8441266
Poland;Austria;4499929
Poland;Austria;3941337
Italy;France;3634.561
Italy;France;3249.682
Italy;France;384.879
Poland;France;12982119
Poland;France;12982119
Spain;France;45745.942
Spain;France;45745.942
Switzerland;France;78.212
Switzerland;France;78.212
Spain;Netherlands;44062.691
Spain;Netherlands;44062.691
Malawi;Mozambique;3264.627
Malawi;Mozambique;3264.627
France;Germany;219419.521
France;Germany;196137.997
France;Germany;23281.523
Italy;Germany;3491.744
Italy;Germany;3491.744
Poland;Germany;33813974
Poland;Germany;56874
Poland;Germany;33757100
Italy;Czechia;3817.318
Italy;Czechia;3817.318
Poland;Czechia;10425689
Poland;Czechia;75124
Poland;Czechia;7192564
Poland;Czechia;3158001
France;Italy;37689.053
France;Italy;37689.053
Turkey;Iraq;3440
Turkey;Iraq;3440
Lithuania;Russian Federation;81
Lithuania;Russian Federation;81
Brazil;Argentina;5200
Brazil;Argentina;5200
Italy;India;22234.076
Italy;India;22234.076
Poland;Croatia;17330
Poland;Croatia;17330
Poland;Denmark;5986514
Poland;Denmark;5986514
Poland;Lithuania;19839
Poland;Lithuania;19839
France;Switzerland;10028.256
France;Switzerland;10028.256
France;Tunisia;8022.605
France;Tunisia;8022.605
Poland;Iceland;318859
Poland;Iceland;318859
Spain;Morocco;267541.908
Spain;Morocco;267541.908
Poland;Spain;341324
Poland;Spain;341324
Italy;Hungary;74.018
Italy;Hungary;74.018
Poland;Hungary;423942
Poland;Hungary;423942
Poland;Slovakia;5334742
Poland;Slovakia;4875899
Poland;Slovakia;458843
Spain;Slovakia;1402.762
Spain;Slovakia;1402.762
Poland;Egypt;7541856
