source;target;weight
Bolivia (Plurinational State of);Brazil;115081019.2
Bolivia (Plurinational State of);Brazil;115081019.2
Bolivia (Plurinational State of);Brazil;98802532.71
Bolivia (Plurinational State of);Argentina;18684911.55
Bolivia (Plurinational State of);Argentina;18684911.55
Bolivia (Plurinational State of);Brazil;96759478.25
Bolivia (Plurinational State of);Brazil;96759478.25
Bolivia (Plurinational State of);Argentina;18728210.97
Bolivia (Plurinational State of);Argentina;18728210.97
Bolivia (Plurinational State of);Brazil;98420093.4
Bolivia (Plurinational State of);Argentina;12354328.38
Bolivia (Plurinational State of);Brazil;98420093.4
Bolivia (Plurinational State of);Argentina;23482526.49
Bolivia (Plurinational State of);Argentina;23482526.49
Bolivia (Plurinational State of);Argentina;21038189.89
Bolivia (Plurinational State of);Argentina;21038189.89
Bolivia (Plurinational State of);Brazil;110022282
Bolivia (Plurinational State of);Brazil;110022282
Bolivia (Plurinational State of);Brazil;126383553
Norway;United Kingdom;721624450.6
Norway;Spain;43171694.53
Norway;Greece;1569443.321
Norway;Switzerland;20167192.89
Norway;USA;37379807.66
Norway;Netherlands;213187951.6
Norway;Italy;173546382.6
Norway;Italy;173546382.6
Norway;Germany;718979415.2
Norway;Sweden;33576.716
Norway;United Kingdom;33228.825
Norway;Türkiye;36564689.1
Norway;Sweden;24550169.67
Bolivia (Plurinational State of);Argentina;29633800.78
Bolivia (Plurinational State of);Argentina;32100159.5
Bolivia (Plurinational State of);Brazil;132609149.1
Bolivia (Plurinational State of);Brazil;132609149.1
Bolivia (Plurinational State of);Chile;35.1
Bolivia (Plurinational State of);Argentina;22371936.5
Bolivia (Plurinational State of);Argentina;22371936.5
Bolivia (Plurinational State of);Argentina;22972644
Norway;Portugal;3278053.433
Norway;Morocco;12815311.08
Norway;Guatemala;21085349.88
Norway;USA;37379807.66
Norway;France;432117669.7
Norway;France;414497116.2
Norway;Switzerland;20167192.89
Norway;France;432117669.7
Norway;France;414497116.2
Norway;United Kingdom;447418625.9
Bolivia (Plurinational State of);Brazil;114542868.8
Bolivia (Plurinational State of);Brazil;114542868.8
Bolivia (Plurinational State of);Argentina;22893082.97
Bolivia (Plurinational State of);Argentina;22893082.97
Bolivia (Plurinational State of);Brazil;98802532.71
Bolivia (Plurinational State of);Brazil;119265560.3
Bolivia (Plurinational State of);Brazil;119265560.3
Bolivia (Plurinational State of);Argentina;25614747
Bolivia (Plurinational State of);Argentina;25614747
Norway;United Kingdom;462307489.8
Norway;Spain;51891776.02
Norway;Spain;57387106.41
Norway;Germany;712721804.9
Norway;Denmark;6861251.066
Norway;Denmark;7197026.057
Norway;Czechia;78906167.91
Norway;Czechia;78906167.91
Norway;Belgium;181739431.4
Norway;Belgium;154019749
Norway;Poland;11920687.91
Norway;Poland;6861251.066
Norway;Netherlands;171531277.4
Bolivia (Plurinational State of);Argentina;32100159.5
Bolivia (Plurinational State of);Brazil;131307258.9
Bolivia (Plurinational State of);Brazil;131307258.9
Bolivia (Plurinational State of);Argentina;27823893.02
Bolivia (Plurinational State of);Argentina;27823893.02
Bolivia (Plurinational State of);Brazil;126383553
Bolivia (Plurinational State of);Argentina;29633800.78
Bolivia (Plurinational State of);Argentina;12354328.38
Bolivia (Plurinational State of);Brazil;132212102.4
Bolivia (Plurinational State of);Brazil;132212102.4
Bolivia (Plurinational State of);Argentina;22972644
Bolivia (Plurinational State of);Brazil;114657836.5
Bolivia (Plurinational State of);Brazil;114657836.5
Brazil;Singapore;2837251
Brazil;Netherlands;2145
Brazil;Netherlands;2145
Brazil;USA;5614171
Brazil;Argentina;350
Norway;Sweden;33576.716
Norway;United Kingdom;33228.825
Norway;Türkiye;36564689.1
Norway;Sweden;24550169.67
Norway;Portugal;3278053.433
Norway;Morocco;12815311.08
Norway;Guatemala;21085349.88
Norway;Greece;1569443.321
Norway;United Kingdom;462307489.8
Norway;United Kingdom;447418625.9
Norway;Spain;51891776.02
Norway;Spain;57387106.41
Norway;Germany;712721804.9
Norway;Germany;718979415.2
Norway;Denmark;6861251.066
Norway;Denmark;7197026.057
Norway;Czechia;78906167.91
Norway;Czechia;78906167.91
Norway;Belgium;154019749
Norway;Belgium;181739431.4
Norway;Poland;11920687.91
Norway;Poland;6861251.066
Brazil;Peru;600
Brazil;Italy;2480
Brazil;Chile;638
Brazil;Italy;1240
Brazil;Bolivia (Plurinational State of);1469
Brazil;Bolivia (Plurinational State of);1469
Brazil;USA;3524823
Brazil;Thailand;2632310
Brazil;USA;10
Norway;Netherlands;171531277.4
Norway;Netherlands;213187951.6
Norway;Italy;173546382.6
Norway;Italy;173546382.6
Norway;Türkiye;22582496.83
Norway;Sweden;16768.872
Norway;USA;20235773.84
Norway;Poland;5870462.574
Norway;Netherlands;146761564.5
Norway;Italy;155338199.6
Norway;Germany;665712187.2
Brazil;USA;10
Brazil;Paraguay;249
Brazil;Chile;638
Chile;Ecuador;4463563.1
Chile;Ecuador;7621605.17
Chile;Japan;2184119.14
Chile;Bolivia (Plurinational State of);1030
Norway;United Kingdom;397572946.3
Norway;Spain;45220696.71
Norway;Sweden;16768.872
Norway;United Kingdom;34136.262
Norway;Portugal;5229765.289
Norway;Spain;58177891.9
Norway;Spain;45220696.71
Norway;USA;20235773.84
Norway;France;367785838.1
Chile;Ecuador;3479297.72
Chile;Japan;1640943.11
Chile;Ecuador;1381926.06
Chile;El Salvador;2059509.54
Chile;Ecuador;5533455.08
Chile;Spain;17244.71
Chile;Uruguay;3000
Chile;Ecuador;8265146.3
Norway;France;422877889.1
Norway;Germany;669750518.8
Norway;France;422877889.1
Norway;Denmark;5870820.351
Norway;Czechia;78161345.69
Norway;Belgium;198836196.3
Norway;Poland;10757853.54
Norway;Netherlands;155240659.9
Norway;Italy;155338199.6
Norway;United Kingdom;412266889.1
Norway;Spain;58177891.9
Norway;France;367785838.1
Norway;Denmark;5870462.574
Norway;Denmark;357.777
Norway;Czechia;78161345.69
Norway;Belgium;133893179.1
Norway;Sweden;32190216.81
Norway;Portugal;5046371.063
Norway;USA;29196925.1
Norway;France;427400660.2
Norway;Denmark;6456746.895
Norway;Czechia;83173765.48
Norway;Belgium;192021858
Norway;United Kingdom;454406989.6
Norway;United Arab Emirates;831.323
Norway;Spain;50951457.8
Norway;Poland;11216465.43
Chile;USA;40805.22
Chile;Ecuador;3522513.46
Chile;Bolivia (Plurinational State of);1030
Chile;USA;5221.92
Chile;Ecuador;5156473.64
Chile;El Salvador;2612444.56
Norway;United Kingdom;79185.929
Norway;Türkiye;46828008.17
Norway;USA;29196925.1
Norway;France;427400660.2
Norway;France;408219416.4
Norway;Netherlands;161418670.7
Norway;Mexico;650.751
Norway;Italy;171919585.7
Norway;Germany;717530755.8
Norway;France;408219416.4
Norway;Denmark;6456746.895
Norway;Czechia;83173765.48
Norway;Belgium;150388274.8
Norway;United Kingdom;425188544.1
Norway;United Arab Emirates;831.323
Norway;Spain;50951457.8
Norway;Poland;6456746.895
Norway;Netherlands;208378970
Norway;Mexico;650.751
Norway;Italy;171919585.7
Norway;Germany;722500886.3
Chile;Uruguay;3000
Chile;Bolivia (Plurinational State of);18.245
Chile;Ecuador;3620410.44
Chile;Peru;838018.331
Chile;Bolivia (Plurinational State of);1392.093
Chile;Peru;1425.996
Chile;Ecuador;1928580.8
Chile;Peru;1425.996
Chile;Bolivia (Plurinational State of);1392.093
Dominican Rep.;Haiti;1074
Dominican Rep.;Haiti;13
Norway;United Kingdom;79185.929
Norway;Türkiye;46828008.17
Norway;Sweden;32190216.81
Norway;Portugal;5046371.063
Norway;Netherlands;161418670.7
Norway;Netherlands;208378970
Dominican Rep.;Haiti;916
Dominican Rep.;Turks and Caicos Isds;100
Dominican Rep.;Colombia;125
Dominican Rep.;Turks and Caicos Isds;60
Dominican Rep.;Haiti;1260
Dominican Rep.;Haiti;2957
Dominican Rep.;Haiti;2460
